,Book Name,Author,Image Link,Rating,Customer Rating,Price
0,The Psychology of Money,Morgan Housel,"https://images-eu.ssl-images-amazon.com/images/I/71g2ednj0JL._AC_UL300_SR300,200_.jpg",4.6 out of 5 stars,"49,359",₹180.00
1,Atomic Habits: the life-changing million-copy #1 bestseller,James Clear,"https://images-eu.ssl-images-amazon.com/images/I/91bYsX41DVL._AC_UL300_SR300,200_.jpg",4.6 out of 5 stars,"77,602",₹416.00
2,BlackBook of English Vocabulary March 2023 by Nikhil Gupta,Nikhil Kr Gupta,"https://images-eu.ssl-images-amazon.com/images/I/81uL5oJmQxL._AC_UL300_SR300,200_.jpg",4.5 out of 5 stars,383,₹232.00
3,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for childre",Sudha Murty,"https://images-eu.ssl-images-amazon.com/images/I/61yB0UFlM3L._AC_UL300_SR300,200_.jpg",4.6 out of 5 stars,"18,882",₹162.00
4,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,"https://images-eu.ssl-images-amazon.com/images/I/711c-uf6AFL._AC_UL300_SR300,200_.jpg",4.5 out of 5 stars,"69,392",₹379.00
5,The Hidden Hindu: ScienceFiction meets Indian mythology in a nail biting thriller set in 2020,Akshat Gupta,"https://images-eu.ssl-images-amazon.com/images/I/81ZI8RyyynL._AC_UL300_SR300,200_.jpg",4.4 out of 5 stars,"1,372",₹162.00
6,THE 48 LAWS OF POWER,Robert Greene,"https://images-eu.ssl-images-amazon.com/images/I/411yaMigwbL._AC_UL300_SR300,200_.jpg",4.6 out of 5 stars,"16,266",₹575.00
7,Rich Dad Poor Dad: 25th Anniversary Edit,Robert T. Kiyosaki,"https://images-eu.ssl-images-amazon.com/images/I/81BE7eeKzAL._AC_UL300_SR300,200_.jpg",4.6 out of 5 stars,"21,923",₹413.00
8,The Crooked Timber of New India : Essays on a Republic in Crisis,Parakala Prabhakar,"https://images-eu.ssl-images-amazon.com/images/I/71T65-taujL._AC_UL300_SR300,200_.jpg",5.0 out of 5 stars,1,₹299.00
9,"Energize Your Mind: Learn the Art of Mastering Your Thoughts, Feelings and Emotions",Gaur Gopal Das,"https://images-eu.ssl-images-amazon.com/images/I/71B4h-dSVzL._AC_UL300_SR300,200_.jpg",4.6 out of 5 stars,"1,547",₹112.00
10,The Power of Your Subconscious Mind,Joseph Murphy,"https://images-eu.ssl-images-amazon.com/images/I/71sBtM3Yi5L._AC_UL300_SR300,200_.jpg",4.5 out of 5 stars,"74,063",₹85.00
11,Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,"https://images-eu.ssl-images-amazon.com/images/I/7175YpTSa7L._AC_UL300_SR300,200_.jpg",4.5 out of 5 stars,"3,374",₹85.00
12,"Ikigai: The Japanese secret to a long and happy life [Hardcover] García, Héctor and Miralles, Francesc",Francesc Miralles,"https://images-eu.ssl-images-amazon.com/images/I/814L+vq01mL._AC_UL300_SR300,200_.jpg",4.6 out of 5 stars,"47,705",₹368.00
13,"First Aid for the USMLE Step 1 2023, Thirty Third Edition",Matthew Sochat,"https://images-eu.ssl-images-amazon.com/images/I/71TQuIRCShL._AC_UL300_SR300,200_.jpg",4.3 out of 5 stars,368,₹999.00
14,"NCERT Objective Studies Kit for UPSC, State PSCs [Multiple Choice Questions (MCQ Quiz) with Answers] (Set of 5 Books in Hindi",IAS (AIR-49) Dr. Ranjit Kumar Singh,"https://images-eu.ssl-images-amazon.com/images/I/81mbP4CV5tL._AC_UL300_SR300,200_.jpg",4.0 out of 5 stars,50,₹950.00
15,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Ki",Maple Press,"https://images-eu.ssl-images-amazon.com/images/I/71xWWxjzF7L._AC_UL300_SR300,200_.jpg",4.4 out of 5 stars,"6,924",₹179.00
16,My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writi,Wonder House Books,"https://images-eu.ssl-images-amazon.com/images/I/810OOg88LoL._AC_UL300_SR300,200_.jpg",4.4 out of 5 stars,"24,277",₹89.00
17,Trading Chart Breakout Pattern & Candlestick Pattern Pocket Study For Beginners,Unknown Author,"https://images-eu.ssl-images-amazon.com/images/I/61ilt8FWEnL._AC_UL300_SR300,200_.jpg",4.1 out of 5 stars,"2,298",₹200.00
18,Shrimad Bhagwat Geeta Yatharoop,A.C. Bhaktivendanta Swami Prabhupada,"https://images-eu.ssl-images-amazon.com/images/I/91msEbTletL._AC_UL300_SR300,200_.jpg",4.8 out of 5 stars,"15,864",₹190.00
19,Don't Believe Everything You Think,Joseph Nguyen,"https://images-eu.ssl-images-amazon.com/images/I/71+6w5Xpj8L._AC_UL300_SR300,200_.jpg",4.6 out of 5 stars,293,₹209.00
20,Life's Amazing Secrets: How to find Bala,Gaur Gopal Das,"https://images-eu.ssl-images-amazon.com/images/I/81N7FmJhbhL._AC_UL300_SR300,200_.jpg",4.6 out of 5 stars,"21,504",₹159.00
21,Concept of Physics by H.C Verma Part - I - Session 2022-23,H.C. Verma,"https://images-eu.ssl-images-amazon.com/images/I/81Xq+QdmRmL._AC_UL300_SR300,200_.jpg",4.6 out of 5 stars,"12,906",₹380.00
22,The Hidden Hindu (Hindi Translation of The Hidden Hindu),Akshat Gupta,"https://images-eu.ssl-images-amazon.com/images/I/81ZhjrARg2L._AC_UL300_SR300,200_.jpg",4.4 out of 5 stars,167,₹150.00
23,"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals",Maple Press,"https://images-eu.ssl-images-amazon.com/images/I/71jhniLQEMS._AC_UL300_SR300,200_.jpg",4.3 out of 5 stars,"2,579",₹199.00
24,The Magic Of The Lost Temple**,Sudha Murty,"https://images-eu.ssl-images-amazon.com/images/I/71NCu1g99eL._AC_UL300_SR300,200_.jpg",4.6 out of 5 stars,"8,638",₹165.00
25,"NTA UGC NET /SET/JRF Paper 1, Teaching and Research Aptitude – 2023, Includes latest 2022 paper and 2600+ Practice Questions ",KVS Madaan,"https://images-eu.ssl-images-amazon.com/images/I/914NBpb0sfL._AC_UL300_SR300,200_.jpg",4.5 out of 5 stars,96,₹288.00
26,1800+ Reward Stickers - Ideal For Teachers And Parents : Sticker Book With Over 1800 Stickers To Boost The Morale of Kids,Wonder House Books,"https://images-eu.ssl-images-amazon.com/images/I/91ywgdc0ZqL._AC_UL300_SR300,200_.jpg",4.5 out of 5 stars,"1,113",₹149.00
27,Oswaal CBSE Class 10 Science Question Bank (2024 Exam),Oswaal Editorial Board,"https://images-eu.ssl-images-amazon.com/images/I/816rjoPwKeL._AC_UL300_SR300,200_.jpg",4.4 out of 5 stars,"1,036",₹459.00
28,Indian Polity ( English| 6th Revised Edition) | UPSC | Civil Services Exam | State Administrative Exams,M Laxmikanth,"https://images-eu.ssl-images-amazon.com/images/I/71ePXM6nOdL._AC_UL300_SR300,200_.jpg",4.5 out of 5 stars,"4,380",₹709.00
29,"Man's Search For Meaning: The classic tribute to hope from the Holocaust Frankl, Viktor E",Viktor E. Frankl,"https://images-eu.ssl-images-amazon.com/images/I/61nTspM+BYL._AC_UL300_SR300,200_.jpg",4.5 out of 5 stars,"78,636",₹169.00
30,As a Man Thinketh,James Allen,"https://images-eu.ssl-images-amazon.com/images/I/81tEgsxpNZS._AC_UL300_SR300,200_.jpg",4.4 out of 5 stars,"11,055",₹69.00
31,All In One Class 10th Social Science for CBSE Exam 2024,Farah Sultan Aditya Raj ,"https://images-eu.ssl-images-amazon.com/images/I/61Jy-F-9KKL._AC_UL300_SR300,200_.jpg",-1,0,₹330.00
32,"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,"https://images-eu.ssl-images-amazon.com/images/I/51YJ9xQuWfS._AC_UL300_SR300,200_.jpg",4.5 out of 5 stars,"3,228",₹226.00
33,Sapiens: THE MULTI-MILLION COPY BESTSELLER,Yuval Noah Harari,"https://images-eu.ssl-images-amazon.com/images/I/713jIoMO3UL._AC_UL300_SR300,200_.jpg",4.7 out of 5 stars,"113,685",₹277.00
34,"Hidden Hindu Book, The (2)",Akshat Gupta,"https://images-eu.ssl-images-amazon.com/images/I/71TQiECAkKL._AC_UL300_SR300,200_.jpg",4.5 out of 5 stars,485,₹194.00
35,The Hidden Hindu Book 3,Akshat Gupta,"https://images-eu.ssl-images-amazon.com/images/I/818xDcUv8xL._AC_UL300_SR300,200_.jpg",4.6 out of 5 stars,156,₹222.00
36,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,"https://images-eu.ssl-images-amazon.com/images/I/71frknp-CWL._AC_UL300_SR300,200_.jpg",4.5 out of 5 stars,"22,764",₹299.00
37,Math Concept King All Formulas and Theorum Latest 2023 Edition | Gagan Pratap Sir | Champion Publication,Gagan Pratap Sir,"https://images-eu.ssl-images-amazon.com/images/I/61T41ddK2RL._AC_UL300_SR300,200_.jpg",4.2 out of 5 stars,161,₹105.00
38,THE CONCISE 48 LAWS OF POWER,Robert Greene,"https://images-eu.ssl-images-amazon.com/images/I/51Kq3KxnzIL._AC_UL300_SR300,200_.jpg",4.4 out of 5 stars,"4,832",₹259.00
39,28 Years UPSC Civil Services IAS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2022) 13th Edition,Mrunal Patel,"https://images-eu.ssl-images-amazon.com/images/I/71Pl6DkHW4L._AC_UL300_SR300,200_.jpg",4.3 out of 5 stars,"1,524",₹364.00
40,108 Panchatantra Stories for Children (Illustrated) - Story Book for Kids - Moral Stories - Bedtime Stories - 3 Years to 10 Y,Maple Press,"https://images-eu.ssl-images-amazon.com/images/I/81VJ+MAc7YL._AC_UL300_SR300,200_.jpg",4.4 out of 5 stars,"3,201",₹128.00
41,"MTG Objective NCERT at your FINGERTIPS Biology - NCERT Notes with HD Pages, Based on NCERT Exam Archive Questions, NEET Books",MTG Editorial Board,"https://images-eu.ssl-images-amazon.com/images/I/81gP42nbeaL._AC_UL300_SR300,200_.jpg",4.3 out of 5 stars,70,₹639.00
42,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,"https://images-eu.ssl-images-amazon.com/images/I/81WCSu2RoJS._AC_UL300_SR300,200_.jpg",4.5 out of 5 stars,"4,297",₹179.00
43,SSC General Studies 6500 TCS MCQ chapter wise english medium 4th edition,Pinnacle Publications,"https://images-eu.ssl-images-amazon.com/images/I/71OD4-o9aYL._AC_UL300_SR300,200_.jpg",4.3 out of 5 stars,61,₹499.00
44,Wise and Otherwise: A salute to Life [Paperback] Sudha Murty,Sudha Murty,"https://images-eu.ssl-images-amazon.com/images/I/71LaJylkUvL._AC_UL300_SR300,200_.jpg",4.6 out of 5 stars,"6,009",₹162.00
45,India that is Bharat,J Sai Deepak,"https://images-eu.ssl-images-amazon.com/images/I/91xPAUEuzWS._AC_UL300_SR300,200_.jpg",4.8 out of 5 stars,"5,838",₹529.00
46,It Starts with us and Free It ends with us,Delhi wale,"https://images-eu.ssl-images-amazon.com/images/I/61ZDF1ep22L._AC_UL300_SR300,200_.jpg",3.9 out of 5 stars,68,₹249.00
47,Concept of Physics by H.C Verma Part - II - Session 2022-23,H.C. Verma,"https://images-eu.ssl-images-amazon.com/images/I/71LGMML5F7L._AC_UL300_SR300,200_.jpg",4.6 out of 5 stars,"10,007",₹374.00
